period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-11-11;0;517008.076046668;466739.91355107;1192646.27698186;2.55526952453652;0;10.6715404861365;0.567148961912771;0;813711.652293886;813711.652293886;1858891.65122081;2.28445991400089;0;12.1252522856495;0.883451413590969;0;719531.231874197;719531.231874197;1636719.1434698;2.27470201565338;0.00658888047107453;13.4549270133919;0.801153246344353
2001-11-18;0;400489.423943909;439922.661776735;1052627.97589959;2.39275688060329;0;10.3731280018576;0.576997007982523;0;935968.063267272;935968.063267272;1836657.80548021;1.96230819999223;0;11.3940618293233;0.910796539254988;0;705943.032933091;705943.032933091;1646071.92937021;2.33173478960621;0.000701931676045486;12.7958624188014;0.746883331877287
2001-11-25;0;271294.426819944;339335.402102663;882474.947660534;2.60059793995072;0;10.0553344894665;0.58562010704334;0;1006453.14672831;1006453.14672831;1821284.44571501;1.80960678759412;0;10.6619256938549;0.931577201565607;0;716655.186868453;716655.186868453;1321958.60652942;1.84462295222608;0;12.2021606966417;0.736250337477254
2001-12-02;0;377450.137668991;260529.089231918;999343.16899641;3.83582183449317;0;9.78636851738636;0.595118645678914;0;993076.099705132;993076.099705132;2081809.83733418;2.09632457970977;0;9.93565066057069;0.927781477842707;0;682677.229117483;682677.229117483;1375060.63585332;2.01421781363779;0;11.7898268736491;0.727229635609803
2001-12-09;0;348480.096859263;317260.786021315;897547.513404616;2.82905279489636;0;9.53240689317038;0.563641838000842;0;916592.942225787;916592.942225787;1844463.25177474;2.01230357206961;0;9.18090652113732;0.909520825273796;0;692751.287476706;692751.287476706;1288527.90659889;1.86001517412152;0;11.548610485295;0.710841326185081
2001-12-16;0;347578.003264364;348091.575232983;842562.114198666;2.42051854784111;0;9.41304957619571;0.574692021892891;0;839970.180833396;839970.180833396;1829069.21307003;2.17754064942552;0;8.43876232963892;0.889390938185371;0;675400.276592688;675400.276592688;1305327.24228952;1.93267205763483;0;11.2640482047442;0.695588946875475
2001-12-23;0;459640.763821449;402000.797491942;920946.704490334;2.29090765549736;0;9.45664211826964;0.57471167784857;0;823711.197814474;823711.197814474;1563773.51774479;1.8984487790064;0;7.69302406905858;0.801124912264015;0;649925.030726754;649925.030726754;1374352.73179309;2.11463271426286;0;11.0394572746568;0.69320202987702
2001-12-30;0;440469.544143369;467675.214885364;1179786.78503762;2.52266262458832;0;9.51641541965349;0.558477345912018;0;786878.191254251;786878.191254251;1588399.45744753;2.0186090745706;0;7.1737544345026;0.828472626990295;0;706029.670636393;706029.670636393;1354740.32225254;1.91881499970308;0;10.8958203542405;0.693435160423242
2002-01-06;0;429869.877915524;441495.896325058;1034845.31185126;2.34395227784709;0;9.41766351570317;0.552692395850232;0;770689.886028486;770689.886028486;1706302.94492081;2.21399420941375;0;6.94724432834719;0.816244256503699;0;691308.999935751;691308.999935751;1368985.43053055;1.98028006384668;0;10.8281076728573;0.697039735563601
2002-01-13;0;408730.658024566;387531.237132361;945676.800814161;2.44025954607413;0;9.2404725852451;0.539284595301428;0;825829.718493049;825829.718493049;1746069.73280921;2.11432174661308;0;6.52350017149326;0.793159138192672;0;724023.07536864;724023.07536864;1382384.79881803;1.90931041543694;0;10.8124599512313;0.696236820886492
2002-01-20;0;369381.312301321;370685.89555393;1036643.07566009;2.79655386971493;0;9.01521262539161;0.535455358515177;0;838091.893405028;838091.893405028;1525171.78436503;1.81981450526686;0;6.03637828015103;0.719143694354935;0;661018.618962221;661018.618962221;1415081.71893378;2.1407592439006;0;10.6675326947259;0.682029770567959
2002-01-27;0;397407.565628622;441348.682267114;1208730.04906625;2.73871906189289;0;9.15146101026148;0.581710827244115;0;719984.695046736;719984.695046736;1554115.31535817;2.15853937736453;0;5.62139607324743;0.67427661706683;0;680387.79326136;680387.79326136;1615795.5359214;2.37481558594147;0;10.6437490384308;0.694387311446161
2002-02-03;0;314937.617861414;397084.775621629;1055610.16499495;2.65839999365982;0;9.50107028581166;0.444309318480849;0;687238.581676025;687238.581676025;1349711.83075187;1.96396399553154;0;5.29743642714852;0.656632474996504;0;644991.697977316;644991.697977316;1405554.4457791;2.17918222852619;0;10.7397930663726;0.689567238516331
2002-02-10;0;320295.72235312;310162.793404221;659674.931677177;2.12686674773867;0;9.79534192476516;0.404087187534814;0;677604.937104645;677604.937104645;1077338.49534702;1.58992125994596;0;5.4234892531819;0.470033669085611;0;708648.701704585;708648.701704585;1466141.18828058;2.06892524427678;0;10.9575796845109;0.786564428426004
2002-02-17;0;332903.331033767;333139.474049396;963824.171901158;2.89315511063767;0;10.0469000057522;0.375105493324039;0;604716.248820562;604716.248820562;1076767.93102168;1.78061683164923;0;5.99281470843643;0.379792985975836;0;681615.931061078;681615.931061078;1545382.35288405;2.26723332372578;0;11.7063263793372;0.806596476851124
2002-02-24;0;397648.155183493;399502.811550439;933480.414085451;2.33660536821427;0;10.0762530454061;0.351225843193598;0;528914.8708024;528914.8708024;1071742.82975725;2.02630496686799;0;6.78073957154947;0.387808889663552;0;646416.191986203;646416.191986203;1323413.78132968;2.04730914500039;0;12.073950373714;0.774583020833031
2002-03-03;0;596287.544242482;579052.094698111;1069487.15576812;1.84696189783355;0;10.5838124868829;0.385964078784935;0;372393.697317203;372393.697317203;777993.120150653;2.08916833382377;0;7.39952515706035;0.516179457968092;0;650697.149678371;650697.149678371;1407355.62239871;2.16284276501649;0;12.6262370187078;0.75163302678472
2002-03-10;0;744822.967554346;734261.435589672;1451475.74491661;1.97678330164645;0;10.8024441123445;0.4198326414815;0;339968.832760892;339968.832760892;782489.212580521;2.30164984897561;0;9.36098073997639;0.621601097108705;0;733321.396242102;733321.396242102;1584030.81603779;2.16007718328571;0.000696323889339916;12.8719489909843;0.698928061630031
2002-03-17;0;708953.468744487;722024.83884211;1441460.81024172;1.99641443437506;0;10.6238701745614;0.471178518027327;0;243024.781655627;243024.781655627;541310.632107295;2.22738861617145;0;8.91774264297967;0.494335461823712;0;827150.065475365;827150.065475365;1662114.64504206;2.00944751674152;0.00431576500137254;13.2797192865985;0.639520708977184
2002-03-24;0;648941.47200361;685932.884874497;1224513.02285761;1.78517906031238;0;11.5673061892673;0.46529692055713;0;243712.945450503;243712.945450503;675772.762350772;2.77282259709925;0;8.36626955150592;0.488694610078211;0;853118.269427779;853118.269427779;1682210.8854702;1.97183783978571;0.00596983788174799;13.4774648343152;0.642239049694649
