period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-08-26;0;510026.687562944;393640.908874198;975340.749821686;2.47774234799715;0.00357081828089032;13.0479949836227;0.520207722399521;0;404399.808982608;404399.808982608;1174746.45668385;2.90491348064503;0.05;32.3240029634862;0.584300823948021;0;392956.217342474;392956.217342474;1054095.8313491;2.68247653257111;0.05;35.4092800987632;0.522144492801415
2001-09-02;0;443363.036137221;482817.563802459;1169893.53848602;2.42305505473424;0.00405990445679511;13.1019012303014;0.572925843623126;0;347889.979331616;347889.979331616;773944.844134882;2.22468277362235;0.05;32.3205039297659;0.588293447028927;0;378538.571512816;378538.571512816;854378.946205656;2.25704594063205;0.05;35.4212746595931;0.535063358156725
2001-09-09;0;455734.111919397;497934.267615069;1217236.17190376;2.44457200693154;0.00446308934630527;13.1621952496879;0.579582057899131;0;370814.949522829;370814.949522829;1045493.67596129;2.81944856135561;0.05;32.3260447768602;0.558076116014987;0;325781.667049996;325781.667049996;1150538.48609039;3.53162440510757;0.05;35.4311646288483;0.485775783597442
2001-09-16;0;467111.078800885;468784.583987674;1052919.51114241;2.24606257779606;0.00508762737770355;13.2122822818166;0.55424287971927;0;355161.550858289;355161.550858289;941379.285429078;2.65056643421599;0.05;32.3134697840896;0.560589336698068;0;363174.330366853;363174.330366853;773726.326126977;2.13045433399826;0.05;35.4436842208381;0.484951866729134
2001-09-23;0;436484.105409057;514181.671744126;1154996.30477325;2.24628058183299;0.00598649254694043;13.3382098326957;0.578780889870909;0;354060.446227375;354060.446227375;1027684.85050506;2.90256892984056;0.05;32.3157381712223;0.556204787876392;0;339416.844884437;339416.844884437;1080288.99960201;3.18277956997043;0.05;35.4578559626888;0.520983877755269
2001-09-30;0;449752.684245219;484216.246663358;1070798.93764558;2.21140646358781;0.00729191704059917;13.4960983461689;0.558969049393934;0;357088.553568989;357088.553568989;1016734.60475721;2.84728982375734;0.05;32.3140618667265;0.548312793631201;0;332275.653223866;332275.653223866;889017.414031997;2.67554184426818;0.05;35.4689726913141;0.480462431053661
2001-10-07;0;413961.908557133;430410.326056699;1091789.45521963;2.53662467911099;0.0091463061517086;13.6911694130467;0.509605709381864;0;365903.564212181;365903.564212181;803854.626273402;2.19690296814726;0.05;32.26475489103;0.53131727662746;0;334323.679565748;334323.679565748;894059.670852921;2.67423376057064;0.05;35.4818106760694;0.45600830179108
2001-10-14;0;438179.270338681;423239.495585613;899234.923809352;2.12464794327649;0.0111243216890889;13.9420324364862;0.490062586876564;0;337802.53621103;337802.53621103;1019612.74350054;3.01836911864858;0.05;32.2104158851737;0.522653523684082;0;349974.356311307;349974.356311307;847090.634042746;2.4204362941645;0.05;35.4807388330675;0.468874639862442
2001-10-21;0;401665.847443724;419427.269868141;1118974.36680352;2.6678626956118;0.0120007904728732;14.1202911874055;0.473895566475142;0;357085.28871343;357085.28871343;1286021.72880547;3.60144136275952;0.05;32.1668583712066;0.510497375030636;0;325961.869702402;325961.869702402;1179581.59040517;3.61877170321213;0.05;35.4721117083333;0.463197579134573
2001-10-28;0;418925.404051588;400133.7583187;958404.699016847;2.39521079911856;0.0135249746842424;14.2699097256116;0.468047777588602;0;343499.104531;343499.104531;1111424.96066514;3.23559784000788;0.05;32.1247002212204;0.470917403559929;0;320941.459601992;320941.459601992;1088271.46240113;3.39087216637802;0.05;35.4396611132316;0.458417723737014
2001-11-04;0;444331.290709565;385542.211410403;870479.303049147;2.25780544201562;0.0153241310362372;14.5177119627403;0.460883501562667;0;333514.471817999;333514.471817999;720020.322927914;2.15888779579206;0.05;32.1292322682159;0.464901000128869;0;347493.97396938;347493.97396938;784449.40530083;2.25744750719031;0.05;35.3969498270403;0.460383132782616
